"S_No","Average download speed (Mbit/s)","Postcode","Short Postcode","Town/City","District","County"
1,41.4,"BR8 7LT","BR8 7","SWANLEY","SEVENOAKS","KENT"
2,50.5,"BR8 7NF","BR8 7","SWANLEY","SEVENOAKS","KENT"
3,50.5,"BR8 7NF","BR8 7","SWANLEY","SEVENOAKS","KENT"
4,54.2,"BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
5,54.2,"BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
6,54.2,"BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
7,54.2,"BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
8,12.9,"BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
9,12.9,"BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
10,12.9,"BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
11,39.2,"BR8 8JG","BR8 8","SWANLEY","SEVENOAKS","KENT"
12,39.2,"BR8 8JG","BR8 8","SWANLEY","SEVENOAKS","KENT"
13,16.6,"BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
14,16.6,"BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
15,16.6,"BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
16,9.7,"BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
17,9.7,"BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
18,9.7,"BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
19,24.2,"BR8 8JW","BR8 8","SWANLEY","SEVENOAKS","KENT"
20,38.3,"BR8 8JX","BR8 8","SWANLEY","SEVENOAKS","KENT"
21,31.8,"BR8 8JY","BR8 8","SWANLEY","SEVENOAKS","KENT"
22,31.8,"BR8 8JY","BR8 8","SWANLEY","SEVENOAKS","KENT"
23,22.5,"CR3 5DQ","CR3 5","CATERHAM","TANDRIDGE","SURREY"
24,8.9,"CR3 7AN","CR3 7","CATERHAM","TANDRIDGE","SURREY"
25,8.9,"CR3 7AN","CR3 7","CATERHAM","TANDRIDGE","SURREY"
26,53.2,"CR3 7BJ","CR3 7","CATERHAM","TANDRIDGE","SURREY"
27,36.9,"CR3 7DA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
28,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
29,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
30,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
31,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
32,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
33,41.8,"CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
34,52.9,"CR3 7EA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
35,52.9,"CR3 7EA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
36,61.8,"CR3 7EB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
37,6.2,"CR3 7LR","CR3 7","CATERHAM","TANDRIDGE","SURREY"
38,29.6,"CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
39,29.6,"CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
40,29.6,"CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
41,29.6,"CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
42,29.6,"CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
43,29,"CR5 3EG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
44,29,"CR5 3EG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
45,38.1,"CR5 3EJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
46,41.6,"CR5 3LL","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
47,40.2,"CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
48,40.2,"CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
49,40.2,"CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
50,33.3,"CR5 3NF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
51,33.3,"CR5 3NF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
52,4.5,"CR5 3NG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
53,38,"CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
54,38,"CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
55,38,"CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
56,38,"CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
57,38,"CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
58,5.6,"CR5 3NJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
59,5.6,"CR5 3NJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
60,28.8,"CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
61,28.8,"CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
62,28.8,"CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
63,28.8,"CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
64,28.8,"CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
