"S_No","Price","Date of Transfer","Postcode","Town/City","District","County","Short Postcode"
1,230000,2019,"ME1 3FY","ROCHESTER","TONBRIDGE AND MALLING","KENT","ME1 3"
2,630000,2019,"GU5 9LF","GUILDFORD","GUILDFORD","SURREY","GU5 9"
3,170000,2019,"TN29 0XN","ROMNEY MARSH","SHEPWAY","KENT","TN29 "
4,220000,2019,"TN4 9BP","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN4 9"
5,350000,2019,"GU21 2TW","WOKING","WOKING","SURREY","GU21 "
6,499950,2019,"TN8 6RB","EDENBRIDGE","SEVENOAKS","KENT","TN8 6"
7,269950,2019,"ME16 9FS","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
8,248000,2019,"ME16 9FS","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
9,570000,2019,"GU8 4LU","GODALMING","WAVERLEY","SURREY","GU8 4"
10,6e+05,2019,"DA4 0HN","DARTFORD","SEVENOAKS","KENT","DA4 0"
11,270000,2019,"ME13 9RY","FAVERSHAM","SWALE","KENT","ME13 "
12,250000,2019,"CT3 1HL","CANTERBURY","DOVER","KENT","CT3 1"
13,165000,2019,"CT3 1RQ","CANTERBURY","CANTERBURY","KENT","CT3 1"
14,415000,2019,"CT15 6DX","DOVER","DOVER","KENT","CT15 "
15,325000,2019,"CT15 5AJ","DOVER","DOVER","KENT","CT15 "
16,202500,2019,"CT14 7NU","DEAL","DOVER","KENT","CT14 "
17,390000,2019,"TN15 0AR","SEVENOAKS","SEVENOAKS","KENT","TN15 "
18,382500,2019,"TN15 0AR","SEVENOAKS","SEVENOAKS","KENT","TN15 "
19,269950,2019,"ME16 9FS","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
20,220000,2019,"CT9 2JN","MARGATE","THANET","KENT","CT9 2"
21,240000,2019,"GU21 2UB","WOKING","WOKING","SURREY","GU21 "
22,8e+05,2019,"KT24 6BS","LEATHERHEAD","GUILDFORD","SURREY","KT24 "
23,435000,2019,"CT4 8AS","CANTERBURY","ASHFORD","KENT","CT4 8"
24,240000,2019,"ME15 8RG","MAIDSTONE","MAIDSTONE","KENT","ME15 "
