"S_No","Short Postcode","Population","LSOA Code","Postcode","Town/City","District","County"
1,"BR6 7",7890,"E01024421","BR6 7QE","ORPINGTON","SEVENOAKS","KENT"
2,"BR8 7",14884,"E01024446","BR8 7LT","SWANLEY","SEVENOAKS","KENT"
3,"BR8 7",14884,"E01024472","BR8 7NF","SWANLEY","SEVENOAKS","KENT"
4,"BR8 7",14884,"E01024472","BR8 7NF","SWANLEY","SEVENOAKS","KENT"
5,"BR8 7",14884,"E01024445","BR8 7RL","SWANLEY","SEVENOAKS","KENT"
6,"BR8 7",14884,"E01024445","BR8 7RL","SWANLEY","SEVENOAKS","KENT"
7,"BR8 7",14884,"E01024445","BR8 7RL","SWANLEY","SEVENOAKS","KENT"
8,"BR8 7",14884,"E01024445","BR8 7RL","SWANLEY","SEVENOAKS","KENT"
9,"BR8 8",7088,"E01024421","BR8 8EN","SWANLEY","SEVENOAKS","KENT"
10,"BR8 8",7088,"E01024421","BR8 8EN","SWANLEY","SEVENOAKS","KENT"
11,"BR8 8",7088,"E01024421","BR8 8EN","SWANLEY","SEVENOAKS","KENT"
12,"BR8 8",7088,"E01024421","BR8 8JG","SWANLEY","SEVENOAKS","KENT"
13,"BR8 8",7088,"E01024421","BR8 8JG","SWANLEY","SEVENOAKS","KENT"
14,"BR8 8",7088,"E01024421","BR8 8JJ","SWANLEY","SEVENOAKS","KENT"
15,"BR8 8",7088,"E01024421","BR8 8JJ","SWANLEY","SEVENOAKS","KENT"
16,"BR8 8",7088,"E01024421","BR8 8JJ","SWANLEY","SEVENOAKS","KENT"
17,"BR8 8",7088,"E01024421","BR8 8JL","SWANLEY","SEVENOAKS","KENT"
18,"BR8 8",7088,"E01024421","BR8 8JL","SWANLEY","SEVENOAKS","KENT"
19,"BR8 8",7088,"E01024421","BR8 8JL","SWANLEY","SEVENOAKS","KENT"
20,"BR8 8",7088,"E01024421","BR8 8JT","SWANLEY","SEVENOAKS","KENT"
21,"BR8 8",7088,"E01024421","BR8 8JU","SWANLEY","SEVENOAKS","KENT"
22,"BR8 8",7088,"E01024421","BR8 8JU","SWANLEY","SEVENOAKS","KENT"
23,"BR8 8",7088,"E01024421","BR8 8JW","SWANLEY","SEVENOAKS","KENT"
24,"BR8 8",7088,"E01024421","BR8 8JX","SWANLEY","SEVENOAKS","KENT"
25,"BR8 8",7088,"E01024421","BR8 8JY","SWANLEY","SEVENOAKS","KENT"
26,"BR8 8",7088,"E01024421","BR8 8JY","SWANLEY","SEVENOAKS","KENT"
27,"CR3 5",12701,"E01030820","CR3 5DQ","CATERHAM","TANDRIDGE","SURREY"
28,"CR3 7",2141,"E01030837","CR3 7AN","CATERHAM","TANDRIDGE","SURREY"
29,"CR3 7",2141,"E01030837","CR3 7AN","CATERHAM","TANDRIDGE","SURREY"
30,"CR3 7",2141,"E01030861","CR3 7BJ","CATERHAM","TANDRIDGE","SURREY"
31,"CR3 7",2141,"E01030861","CR3 7DA","CATERHAM","TANDRIDGE","SURREY"
32,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
33,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
34,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
35,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
36,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
37,"CR3 7",2141,"E01030861","CR3 7DB","CATERHAM","TANDRIDGE","SURREY"
38,"CR3 7",2141,"E01030861","CR3 7EA","CATERHAM","TANDRIDGE","SURREY"
39,"CR3 7",2141,"E01030861","CR3 7EA","CATERHAM","TANDRIDGE","SURREY"
40,"CR3 7",2141,"E01030861","CR3 7EB","CATERHAM","TANDRIDGE","SURREY"
41,"CR3 7",2141,"E01030861","CR3 7LR","CATERHAM","TANDRIDGE","SURREY"
42,"CR5 3",9061,"E01030569","CR5 3EF","COULSDON","REIGATE AND BANSTEAD","SURREY"
43,"CR5 3",9061,"E01030569","CR5 3EF","COULSDON","REIGATE AND BANSTEAD","SURREY"
44,"CR5 3",9061,"E01030569","CR5 3EF","COULSDON","REIGATE AND BANSTEAD","SURREY"
45,"CR5 3",9061,"E01030569","CR5 3EF","COULSDON","REIGATE AND BANSTEAD","SURREY"
46,"CR5 3",9061,"E01030569","CR5 3EF","COULSDON","REIGATE AND BANSTEAD","SURREY"
