"S_No","LSOA Code","Postcode","Short Postcode","Town/City","District","County"
1,"E01024421","BR6 7QE","BR6 7","ORPINGTON","SEVENOAKS","KENT"
2,"E01024446","BR8 7LT","BR8 7","SWANLEY","SEVENOAKS","KENT"
3,"E01024472","BR8 7NF","BR8 7","SWANLEY","SEVENOAKS","KENT"
4,"E01024472","BR8 7NF","BR8 7","SWANLEY","SEVENOAKS","KENT"
5,"E01024445","BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
6,"E01024445","BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
7,"E01024445","BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
8,"E01024445","BR8 7RL","BR8 7","SWANLEY","SEVENOAKS","KENT"
9,"E01024421","BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
10,"E01024421","BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
11,"E01024421","BR8 8EN","BR8 8","SWANLEY","SEVENOAKS","KENT"
12,"E01024421","BR8 8JG","BR8 8","SWANLEY","SEVENOAKS","KENT"
13,"E01024421","BR8 8JG","BR8 8","SWANLEY","SEVENOAKS","KENT"
14,"E01024421","BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
15,"E01024421","BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
16,"E01024421","BR8 8JJ","BR8 8","SWANLEY","SEVENOAKS","KENT"
17,"E01024421","BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
18,"E01024421","BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
19,"E01024421","BR8 8JL","BR8 8","SWANLEY","SEVENOAKS","KENT"
20,"E01024421","BR8 8JT","BR8 8","SWANLEY","SEVENOAKS","KENT"
21,"E01024421","BR8 8JU","BR8 8","SWANLEY","SEVENOAKS","KENT"
22,"E01024421","BR8 8JU","BR8 8","SWANLEY","SEVENOAKS","KENT"
23,"E01024421","BR8 8JW","BR8 8","SWANLEY","SEVENOAKS","KENT"
24,"E01024421","BR8 8JX","BR8 8","SWANLEY","SEVENOAKS","KENT"
25,"E01024421","BR8 8JY","BR8 8","SWANLEY","SEVENOAKS","KENT"
26,"E01024421","BR8 8JY","BR8 8","SWANLEY","SEVENOAKS","KENT"
27,"E01030820","CR3 5DQ","CR3 5","CATERHAM","TANDRIDGE","SURREY"
28,"E01030837","CR3 7AN","CR3 7","CATERHAM","TANDRIDGE","SURREY"
29,"E01030837","CR3 7AN","CR3 7","CATERHAM","TANDRIDGE","SURREY"
30,"E01030861","CR3 7BJ","CR3 7","CATERHAM","TANDRIDGE","SURREY"
31,"E01030861","CR3 7DA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
32,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
33,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
34,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
35,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
36,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
37,"E01030861","CR3 7DB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
38,"E01030861","CR3 7EA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
39,"E01030861","CR3 7EA","CR3 7","CATERHAM","TANDRIDGE","SURREY"
40,"E01030861","CR3 7EB","CR3 7","CATERHAM","TANDRIDGE","SURREY"
41,"E01030861","CR3 7LR","CR3 7","CATERHAM","TANDRIDGE","SURREY"
42,"E01030569","CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
43,"E01030569","CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
44,"E01030569","CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
45,"E01030569","CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
46,"E01030569","CR5 3EF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
47,"E01030569","CR5 3EG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
48,"E01030569","CR5 3EG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
49,"E01030569","CR5 3EJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
50,"E01030567","CR5 3LL","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
51,"E01030568","CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
52,"E01030568","CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
53,"E01030568","CR5 3NA","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
54,"E01030567","CR5 3NF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
55,"E01030567","CR5 3NF","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
56,"E01030567","CR5 3NG","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
57,"E01030568","CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
58,"E01030568","CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
59,"E01030568","CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
60,"E01030568","CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
61,"E01030568","CR5 3NH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
62,"E01030567","CR5 3NJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
63,"E01030567","CR5 3NJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
64,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
65,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
66,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
67,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
68,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
69,"E01030568","CR5 3PJ","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
