"S_No","School Name","Attainment Score","Town","Postcode","Short Post Code","County","Year"
1,"Wilmington Grammar School for Girls","65.4","Dartford","DA2 7BB","DA2 7","Kent","2018"
2,"Trinity School","51.2","Sevenoaks","TN13 3SL","TN13 ","Kent","2018"
3,"The Leigh UTC","33","Dartford","DA1 5TF","DA1 5","Kent","2018"
4,"The Charles Dickens School","34.3","Broadstairs","CT10 2RL","CT10 ","Kent","2018"
5,"Folkestone Academy","34.2","Folkestone","CT19 5FP","CT19 ","Kent","2018"
6,"Northfleet School for Girls","43.2","Gravesend","DA11 8AQ","DA11 ","Kent","2018"
7,"The Maplesden Noakes School","40.8","Maidstone","ME16 0TJ","ME16 ","Kent","2018"
8,"Dartford Grammar School","74.3","Dartford","DA1 2HW","DA1 2","Kent","2018"
9,"Thamesview School","35.8","Gravesend","DA12 4LF","DA12 ","Kent","2018"
10,"Homewood School and Sixth Form Centre","37.8","Tenterden","TN30 6LT","TN30 ","Kent","2018"
11,"Wrotham School","43.6","Sevenoaks","TN15 7RD","TN15 ","Kent","2018"
12,"Fulston Manor School","37.8","Sittingbourne","ME10 4EG","ME10 ","Kent","2018"
13,"The Canterbury Academy","37.5","Canterbury","CT2 8QA","CT2 8","Kent","2018"
14,"The Malling School","36.9","West Malling","ME19 6DH","ME19 ","Kent","2018"
15,"The Archbishop's School","37.8","Canterbury","CT2 7AP","CT2 7","Kent","2018"
16,"Hugh Christie School","35.8","Tonbridge","TN10 4PU","TN10 ","Kent","2018"
17,"Queen Elizabeth's Grammar School","61.5","Faversham","ME13 7BQ","ME13 ","Kent","2018"
18,"Dane Court Grammar School","63.5","Broadstairs","CT10 2RT","CT10 ","Kent","2018"
19,"Bennett Memorial Diocesan School","54.2","Tunbridge Wells","TN4 9SH","TN4 9","Kent","2018"
20,"The Royal Harbour Academy","28","Ramsgate","CT12 6RH","CT12 ","Kent","2018"
21,"Ashford School","39.1","Ashford","TN24 8PB","TN24 ","Kent","2018"
22,"Benenden School","19","Cranbrook","TN17 4AA","TN17 ","Kent","2018"
23,"Dover College","29.8","Dover","CT17 9RH","CT17 ","Kent","2018"
24,"Gad's Hill School","47.3","Rochester","ME3 7PA","ME3 7","Kent","2018"
25,"Kent College Pembury","17.9","Tunbridge Wells","TN2 4AX","TN2 4","Kent","2018"
26,"St Lawrence College","38.2","Ramsgate","CT11 7AE","CT11 ","Kent","2018"
27,"Beechwood Sacred Heart School","44","Tunbridge Wells","TN2 3QD","TN2 3","Kent","2018"
28,"Sevenoaks School","6.8","Sevenoaks","TN13 1HU","TN13 ","Kent","2018"
29,"Radnor House Sevenoaks School","47.4","Sevenoaks","TN14 6AE","TN14 ","Kent","2018"
30,"Sutton Valence School","22.4","Maidstone","ME17 3HL","ME17 ","Kent","2018"
31,"Tonbridge School","14.1","Tonbridge","TN9 1JP","TN9 1","Kent","2018"
32,"Bethany School","28.3","Cranbrook","TN17 1LB","TN17 ","Kent","2018"
33,"Cobham Hall","30.5","Gravesend","DA12 3BL","DA12 ","Kent","2018"
34,"The King's School Canterbury","10.8","Canterbury","CT1 2ES","CT1 2","Kent","2018"
35,"St Edmund's School Canterbury","40.8","Canterbury","CT2 8HU","CT2 8","Kent","2018"
36,"Kent College (Canterbury)","34.5","Canterbury","CT2 9DT","CT2 9","Kent","2018"
37,"Walthamstow Hall","10","Sevenoaks","TN13 3UL","TN13 ","Kent","2018"
38,"Sackville School","29.3","Tonbridge","TN11 9HN","TN11 ","Kent","2018"
39,"CATS Canterbury","2.8","Canterbury","CT1 3LQ","CT1 3","Kent","2018"
40,"Kent College International Study Centre","12","Canterbury","CT2 9DT","CT2 9","Kent","2018"
41,"Oneschool Global Uk Maidstone Campus","58.9","Maidstone","ME17 4HT","ME17 ","Kent","2018"
42,"Earlscliffe (Sussex Summer Schools Ltd)","19","Folkestone","CT20 2NB","CT20 ","Kent","2018"
43,"Knole Academy","43","Sevenoaks","TN13 3LE","TN13 ","Kent","2018"
44,"The Leigh Academy","42.1","Dartford","DA1 1QE","DA1 1","Kent","2018"
45,"Duke of York's Royal Military School","52.5","Dover","CT15 5EQ","CT15 ","Kent","2018"
46,"East Kent College","6.5","Broadstairs","CT10 1PN","CT10 ","Kent","2018"
47,"Wye School","49.6","Wye","TN25 5EJ","TN25 ","Kent","2018"
48,"Tunbridge Wells Girls' Grammar School","73.8","Tunbridge Wells","TN4 9UJ","TN4 9","Kent","2018"
49,"Tunbridge Wells Grammar School for Boys","60.9","Tunbridge Wells","TN4 9XB","TN4 9","Kent","2018"
50,"Weald of Kent Grammar School","72.5","Tonbridge","TN9 2JP","TN9 2","Kent","2018"
51,"Invicta Grammar School","72.2","Maidstone","ME14 5DS","ME14 ","Kent","2018"
52,"Highsted Grammar School","62.6","Sittingbourne","ME10 4PT","ME10 ","Kent","2018"
53,"Highworth Grammar School","73.1","Ashford","TN24 8UD","TN24 ","Kent","2018"
54,"The Harvey Grammar School","62.4","Folkestone","CT19 5JY","CT19 ","Kent","2018"
55,"Dover Grammar School for Girls","62.8","Dover","CT16 2PZ","CT16 ","Kent","2018"
56,"Maidstone Grammar School","65.5","Maidstone","ME15 7BT","ME15 ","Kent","2018"
57,"Maidstone Grammar School for Girls","69.7","Maidstone","ME16 0SF","ME16 ","Kent","2018"
58,"Borden Grammar School","55.5","Sittingbourne","ME10 4DB","ME10 ","Kent","2018"
59,"The Norton Knatchbull School","63.7","Ashford","TN24 0QJ","TN24 ","Kent","2018"
60,"Simon Langton Girls' Grammar School","68.3","Canterbury","CT1 3EW","CT1 3","Kent","2018"
61,"The Judd School","76","Tonbridge","TN9 2PN","TN9 2","Kent","2018"
62,"Wilmington Grammar School for Boys","66","Dartford","DA2 7DA","DA2 7","Kent","2018"
63,"Dartford Grammar School for Girls","75.3","Dartford","DA1 2NT","DA1 2","Kent","2018"
64,"Simon Langton Grammar School for Boys","69.6","Canterbury","CT4 7AS","CT4 7","Kent","2018"
65,"Cranbrook School","65.6","Cranbrook","TN17 3JD","TN17 ","Kent","2018"
66,"The Skinners' School","72.1","Tunbridge Wells","TN4 9PG","TN4 9","Kent","2018"
67,"Oakwood Park Grammar School","61.7","Maidstone","ME16 8AH","ME16 ","Kent","2018"
68,"Sir Roger Manwood's School","63.3","Sandwich","CT13 9JX","CT13 ","Kent","2018"
69,"The Folkestone School for Girls","64","Folkestone","CT20 3RB","CT20 ","Kent","2018"
70,"Tonbridge Grammar School","76.3","Tonbridge","TN9 2JR","TN9 2","Kent","2018"
71,"Barton Court Grammar School","62.9","Canterbury","CT1 1PH","CT1 1","Kent","2018"
72,"Dover Grammar School for Boys","56.4","Dover","CT17 0DQ","CT17 ","Kent","2018"
73,"Chatham & Clarendon Grammar School","62.9","Ramsgate","CT11 7PS","CT11 ","Kent","2018"
74,"Gravesend Grammar School","67.4","Gravesend","DA12 2PR","DA12 ","Kent","2018"
75,"Mayfield Grammar School, Gravesend","65.8","Gravesend","DA11 0JE","DA11 ","Kent","2018"
76,"St Augustine Academy","34.8","Maidstone","ME16 8AE","ME16 ","Kent","2018"
77,"The Ebbsfleet Academy","43.8","Swanscombe","DA10 0BZ","DA10 ","Kent","2018"
78,"The Sittingbourne School","33.5","Sittingbourne","ME10 4NL","ME10 ","Kent","2018"
79,"High Weald Academy","32","Cranbrook","TN17 2PJ","TN17 ","Kent","2018"
80,"Meopham School","48.1","Gravesend","DA13 0AH","DA13 ","Kent","2018"
81,"Hadlow Rural Community School","35.8","Hadlow","TN11 0AU","TN11 ","Kent","2018"
82,"St Edmund's Catholic School","33.1","Dover","CT16 2QB","CT16 ","Kent","2018"
83,"The Lenham School","40.3","Maidstone","ME17 2LL","ME17 ","Kent","2018"
84,"Goodwin Academy","33.9","Deal","CT14 9BD","CT14 ","Kent","2018"
85,"Dartford Science & Technology College","41.1","Dartford","DA1 2LY","DA1 2","Kent","2018"
86,"Orchards Academy","39.7","Swanley","BR8 7TE","BR8 7","Kent","2018"
87,"The Holmesdale School","39.2","Snodland","ME6 5HS","ME6 5","Kent","2018"
88,"The Whitstable School","39.7","Whitstable","CT5 1PX","CT5 1","Kent","2018"
89,"Astor College (A Specialist College for the Arts)","33.3","Dover","CT17 0AS","CT17 ","Kent","2018"
90,"King Ethelbert School","39.3","Birchington","CT7 9BL","CT7 9","Kent","2018"
91,"Hartsdown Academy","20.5","Margate","CT9 5RE","CT9 5","Kent","2018"
92,"Towers School and Sixth Form Centre","36.3","Ashford","TN24 9AL","TN24 ","Kent","2018"
93,"The Abbey School","37.3","Faversham","ME13 8RZ","ME13 ","Kent","2018"
94,"The North School","35.2","Ashford","TN24 8AL","TN24 ","Kent","2018"
95,"Valley Park School","45.1","Maidstone","ME14 5DT","ME14 ","Kent","2018"
96,"Ursuline College","41.3","Westgate-on-Sea","CT8 8LX","CT8 8","Kent","2018"
97,"Saint George's Church of England School","43.9","Gravesend","DA11 7LS","DA11 ","Kent","2018"
98,"Aylesford School","37.3","Aylesford","ME20 7JU","ME20 ","Kent","2018"
99,"St Simon Stock Catholic School","50.9","Maidstone","ME16 0JP","ME16 ","Kent","2018"
100,"Westlands School","42.4","Sittingbourne","ME10 1PF","ME10 ","Kent","2018"
101,"St Gregory's Catholic School","47.5","Tunbridge Wells","TN4 9XL","TN4 9","Kent","2018"
102,"Mascalls Academy","45.5","Tonbridge","TN12 6LT","TN12 ","Kent","2018"
103,"St Anselm's Catholic School, Canterbury","42.9","Canterbury","CT1 3EN","CT1 3","Kent","2018"
104,"St George's Church of England Foundation School","39","Broadstairs","CT10 2LH","CT10 ","Kent","2018"
105,"Herne Bay High School","39.2","Herne Bay","CT6 7NS","CT6 7","Kent","2018"
106,"Hillview School for Girls","47.1","Tonbridge","TN9 2HE","TN9 2","Kent","2018"
107,"The Hayesbrook School","37.1","Tonbridge","TN9 2PH","TN9 2","Kent","2018"
108,"Northfleet Technology College","37.2","Gravesend","DA11 8BG","DA11 ","Kent","2018"
109,"St John's Catholic Comprehensive","42.5","Gravesend","DA12 2JW","DA12 ","Kent","2018"
110,"Sandwich Technology School","39.6","Sandwich","CT13 0FA","CT13 ","Kent","2018"
111,"Brockhill Park Performing Arts College","39","Hythe","CT21 4HL","CT21 ","Kent","2018"
112,"The Marsh Academy","35.5","New Romney","TN28 8BB","TN28 ","Kent","2018"
113,"Spires Academy","33.9","Canterbury","CT2 0HD","CT2 0","Kent","2018"
114,"New Line Learning Academy","33.5","Maidstone","ME15 9QL","ME15 ","Kent","2018"
115,"Cornwallis Academy","43.8","Maidstone","ME17 4HX","ME17 ","Kent","2018"
116,"Longfield Academy","40.1","Longfield","DA3 7PH","DA3 7","Kent","2018"
117,"Oasis Academy Isle of Sheppey","32.7","Minster-on-Sea","ME12 3JQ","ME12 ","Kent","2018"
118,"Skinners' Kent Academy","44.3","Tunbridge Wells","TN2 4PY","TN2 4","Kent","2018"
119,"Dover Christ Church Academy","30.9","Dover","CT16 2EG","CT16 ","Kent","2018"
120,"The John Wallis Church of England Academy","39.1","Ashford","TN23 3HG","TN23 ","Kent","2018"
121,"Wilmington Academy","42.4","Wilmington","DA2 7DR","DA2 7","Kent","2018"
122,"St Anthony's School","1.6","Margate","CT9 3RA","CT9 3","Kent","2018"
123,"Rowhill School","2.8","Longfield","DA3 7PW","DA3 7","Kent","2018"
124,"Portal House School","15.1","Dover","CT15 6SS","CT15 ","Kent","2018"
125,"Valence School","0.7","Westerham","TN16 1QN","TN16 ","Kent","2018"
126,"Bower Grove School","6","Maidstone","ME16 8NL","ME16 ","Kent","2018"
127,"Goldwyn School","7","Ashford","TN23 3BT","TN23 ","Kent","2018"
128,"The Beacon Folkestone","0.5","Folkestone","CT19 5DN","CT19 ","Kent","2018"
129,"Elms School","2.3","Dover","CT17 9PS","CT17 ","Kent","2018"
130,"Grange Park School","16.2","Sevenoaks","TN15 7RD","TN15 ","Kent","2018"
131,"The Orchard School","7.4","Canterbury","CT1 3QQ","CT1 3","Kent","2018"
132,"Meadowfield School","0.1","Sittingbourne","ME10 4NL","ME10 ","Kent","2018"
133,"Laleham Gap School","16.3","Ramsgate","CT12 6FH","CT12 ","Kent","2018"
134,"Helen Allison School","0.4","Gravesend","DA13 0EW","DA13 ","Kent","2018"
135,"Ripplevale School","5.7","Deal","CT14 8JG","CT14 ","Kent","2018"
136,"Learning Opportunities Centre Secondary","2","Deal","CT14 8DW","CT14 ","Kent","2018"
137,"ISP School (Kent)","2.3","Teynham","ME9 9EA","ME9 9","Kent","2018"
138,"Brewood Secondary School","0.3","Deal","CT14 9TR","CT14 ","Kent","2018"
139,"The Old Priory School","4.1","Ramsgate","CT11 9PG","CT11 ","Kent","2018"
140,"West Heath School","11.5","Sevenoaks","TN13 1SR","TN13 ","Kent","2018"
141,"Great Oaks Small School","9","Ramsgate","CT12 5FH","CT12 ","Kent","2018"
142,"Lighthouse School","6.1","Margate","CT9 2QJ","CT9 2","Kent","2018"
143,"Broomhill Bank School","9","Tunbridge Wells","TN3 0TB","TN3 0","Kent","2018"
144,"Meadows School","3.2","Tunbridge Wells","TN4 0RJ","TN4 0","Kent","2018"
1,"The Abbey School","38","Faversham","ME13 8RZ","ME13 ","Kent","2021"
2,"The Archbishop's School","37.8","Canterbury","CT2 7AP","CT2 7","Kent","2021"
3,"Ashford School","46.8","Ashford","TN24 8PB","TN24 ","Kent","2021"
4,"Astor Secondary School","31.9","Dover","CT17 0AS","CT17 ","Kent","2021"
5,"Aylesford School","37.5","Aylesford","ME20 7JU","ME20 ","Kent","2021"
6,"Barton Court Grammar School","67.3","Canterbury","CT1 1PH","CT1 1","Kent","2021"
7,"Beechwood School","44.6","Tunbridge Wells","TN2 3QD","TN2 3","Kent","2021"
8,"Benenden School","20.3","Cranbrook","TN17 4AA","TN17 ","Kent","2021"
9,"Bennett Memorial Diocesan School","59.5","Tunbridge Wells","TN4 9SH","TN4 9","Kent","2021"
10,"Bethany School","14.5","Cranbrook","TN17 1LB","TN17 ","Kent","2021"
11,"Borden Grammar School","64.3","Sittingbourne","ME10 4DB","ME10 ","Kent","2021"
12,"Bower Grove School","7.1","Maidstone","ME16 8NL","ME16 ","Kent","2021"
13,"Brewood Secondary School","0.8","Deal","CT14 9TR","CT14 ","Kent","2021"
14,"Brockhill Park Performing Arts College","38.5","Hythe","CT21 4HL","CT21 ","Kent","2021"
15,"Broomhill Bank School","12.2","Tunbridge Wells","TN3 0TB","TN3 0","Kent","2021"
